,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates
3543,8.1,0.33,0.22,5.2,0.047,24.0,151.0,0.99527,3.22,0.47
2906,7.2,0.24,0.29,2.2,0.037,37.0,102.0,0.992,3.27,0.64
3585,6.2,0.28,0.27,10.3,0.03,26.0,108.0,0.99388,3.2,0.36
1428,6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,0.77
398,8.9,0.59,0.39,2.3,0.095,5.0,22.0,0.9986,3.37,0.58
4245,6.9,0.75,0.13,6.3,0.036,19.0,50.0,0.99312,3.09,0.25
3864,7.1,0.17,0.43,1.3,0.023,33.0,132.0,0.99067,3.11,0.56
4751,6.9,0.26,0.38,10.5,0.044,33.0,139.0,0.99517,3.06,0.5
4947,6.3,0.25,0.27,6.6,0.054,40.0,158.0,0.99378,3.2,0.48
3832,6.7,0.25,0.31,1.35,0.061,30.5,218.0,0.99388,3.16,0.53
1452,7.2,0.27,0.46,18.75,0.052,45.0,255.0,1.0,3.04,0.52
593,7.1,0.65,0.18,1.8,0.07,13.0,40.0,0.997,3.44,0.6
2725,6.2,0.22,0.49,6.0,0.029,31.0,128.0,0.9928,3.41,0.36
41,4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56
560,8.3,0.845,0.01,2.2,0.07,5.0,14.0,0.9967,3.32,0.58
3334,6.4,0.27,0.19,2.0,0.084,21.0,191.0,0.99516,3.49,0.63
3464,6.8,0.23,0.3,1.7,0.043,19.0,95.0,0.99207,3.17,0.46
243,8.9,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77
1339,6.2,0.7,0.15,5.1,0.076,13.0,27.0,0.99622,3.54,0.6
4345,5.8,0.32,0.28,4.3,0.032,46.0,115.0,0.98946,3.16,0.57
3364,7.0,0.16,0.26,7.3,0.047,30.0,220.0,0.99622,3.38,0.58
405,11.5,0.315,0.54,2.1,0.084,5.0,15.0,0.9987,2.98,0.7
1442,8.6,0.265,0.36,1.2,0.034,15.0,80.0,0.9913,2.95,0.36
261,7.5,0.53,0.06,2.6,0.086,20.0,44.0,0.9965,3.38,0.59
4817,6.6,0.26,0.27,11.8,0.048,28.0,112.0,0.99606,2.87,0.49
1689,6.1,0.55,0.15,9.8,0.031,19.0,125.0,0.9957,3.36,0.47
1725,6.1,0.38,0.2,6.6,0.033,25.0,137.0,0.9938,3.3,0.69
1203,7.7,0.64,0.21,2.2,0.077,32.0,133.0,0.9956,3.27,0.45
834,7.0,0.4,0.32,3.6,0.061,9.0,29.0,0.99416,3.28,0.49
1866,6.1,0.28,0.25,17.75,0.044,48.0,161.0,0.9993,3.34,0.48
2496,7.6,0.54,0.23,2.0,0.029,13.0,151.0,0.9931,3.04,0.33
3016,6.8,0.27,0.35,7.8,0.048,76.0,197.0,0.9959,3.24,0.43
3941,6.2,0.23,0.36,17.2,0.039,37.0,130.0,0.99946,3.23,0.43
2010,6.6,0.21,0.6,1.1,0.135,61.0,144.0,0.9927,3.12,0.39
3153,7.8,0.29,0.33,8.75,0.035,33.0,181.0,0.9962,3.11,0.46
340,9.6,0.38,0.31,2.5,0.096,16.0,49.0,0.9982,3.19,0.7
3399,6.3,0.2,0.26,1.6,0.027,36.0,141.0,0.99268,3.53,0.56
1601,7.3,0.32,0.25,7.2,0.056,47.0,180.0,0.9961,3.08,0.47
2796,6.7,0.33,0.42,6.4,0.058,27.0,151.0,0.9954,3.16,0.44
3418,7.4,0.56,0.09,1.5,0.071,19.0,117.0,0.99496,3.22,0.53
4997,6.7,0.18,0.25,14.3,0.048,79.0,149.0,0.9975,3.12,0.37
480,9.4,0.43,0.24,2.8,0.092,14.0,45.0,0.998,3.19,0.73
3206,7.6,0.23,0.26,15.3,0.067,32.0,166.0,0.9986,3.03,0.44
4999,5.8,0.27,0.22,12.7,0.058,42.0,206.0,0.9946,3.32,0.38
1523,6.8,0.28,0.36,8.0,0.045,28.0,123.0,0.9928,3.02,0.37
3862,6.9,0.24,0.37,6.1,0.027,38.0,112.0,0.99086,3.19,0.34
4806,6.6,0.21,0.3,9.9,0.041,64.0,174.0,0.995,3.07,0.5
4935,6.9,0.29,0.25,12.2,0.04,29.0,136.0,0.99552,3.05,0.65
3469,9.0,0.29,0.34,12.1,0.03,34.0,177.0,0.99706,3.13,0.47
799,12.0,0.63,0.5,1.4,0.071,6.0,26.0,0.99791,3.07,0.6
1766,7.4,0.29,0.29,1.6,0.045,53.0,180.0,0.9936,3.34,0.68
4764,6.3,0.28,0.34,8.1,0.038,44.0,129.0,0.99248,3.26,0.29
4074,7.3,0.145,0.33,1.1,0.042,14.0,64.0,0.99012,3.1,0.37
2453,7.3,0.42,0.38,6.8,0.045,29.0,122.0,0.9925,3.19,0.37
3268,5.6,0.295,0.2,2.2,0.049,18.0,134.0,0.99378,3.21,0.68
4215,6.0,0.28,0.27,15.5,0.036,31.0,134.0,0.99408,3.19,0.44
4320,6.6,0.3,0.25,8.0,0.036,21.0,124.0,0.99362,3.06,0.38
4979,5.8,0.61,0.01,8.4,0.041,31.0,104.0,0.9909,3.26,0.72
363,8.6,0.725,0.24,6.6,0.117,31.0,134.0,1.0014,3.32,1.07
1271,7.5,0.725,0.04,1.5,0.076,8.0,15.0,0.99508,3.26,0.53
3504,6.7,0.34,0.3,8.5,0.059,24.0,152.0,0.99615,3.46,0.64
4793,7.5,0.29,0.24,9.9,0.058,25.0,115.0,0.99567,3.15,0.46
3523,6.5,0.18,0.41,14.2,0.039,47.0,129.0,0.99678,3.28,0.72
4412,5.5,0.17,0.23,2.9,0.039,10.0,108.0,0.99243,3.28,0.5
347,11.5,0.59,0.59,2.6,0.087,13.0,49.0,0.9988,3.18,0.65
4253,6.5,0.28,0.25,4.8,0.029,54.0,128.0,0.99074,3.17,0.44
4918,8.1,0.36,0.59,13.6,0.051,60.0,134.0,0.99886,2.96,0.39
2562,6.2,0.18,0.49,4.5,0.047,17.0,90.0,0.9919,3.27,0.37
3027,6.4,0.43,0.27,1.1,0.054,5.0,110.0,0.9939,3.24,0.52
4883,6.5,0.13,0.27,2.6,0.035,32.0,76.0,0.9914,3.21,0.76
1423,8.6,0.23,0.46,1.0,0.054,9.0,72.0,0.9941,2.95,0.49
656,8.8,0.42,0.21,2.5,0.092,33.0,88.0,0.99823,3.19,0.52
4595,6.5,0.38,0.26,5.2,0.042,33.0,112.0,0.99067,3.06,0.5
4908,7.1,0.27,0.27,10.4,0.041,26.0,114.0,0.99335,3.04,0.52
2102,5.8,0.26,0.18,1.2,0.031,40.0,114.0,0.9908,3.42,0.4
632,9.5,0.55,0.66,2.3,0.387,12.0,37.0,0.9982,3.17,0.67
3286,6.9,0.35,0.55,11.95,0.038,22.0,111.0,0.99687,3.11,0.29
2493,6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.9956,3.29,0.52
2665,7.1,0.36,0.24,1.8,0.025,32.0,102.0,0.9903,3.34,0.59
3659,6.9,0.4,0.43,6.2,0.065,42.0,178.0,0.99552,3.11,0.53
4129,6.9,0.19,0.35,6.9,0.045,51.0,125.0,0.9933,3.1,0.44
3757,6.6,0.26,0.46,6.9,0.047,59.0,183.0,0.99594,3.2,0.45
3903,5.1,0.33,0.27,6.7,0.022,44.0,129.0,0.99221,3.36,0.39
4084,7.1,0.17,0.31,1.6,0.037,15.0,103.0,0.991,3.14,0.5
2500,7.0,0.46,0.39,6.2,0.039,46.0,163.0,0.9928,3.21,0.35
1465,7.4,0.39,0.23,7.0,0.033,29.0,126.0,0.994,3.14,0.42
4540,6.2,0.3,0.28,1.6,0.036,28.0,106.0,0.988245,3.14,0.41
115,8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48
1821,7.8,0.28,0.34,1.6,0.028,32.0,118.0,0.9901,3.0,0.38
1494,6.4,0.22,0.56,14.5,0.055,27.0,159.0,0.998,2.98,0.4
2401,7.7,0.26,0.31,1.3,0.043,47.0,155.0,0.9937,3.42,0.5
1232,7.6,0.49,0.33,1.9,0.074,27.0,85.0,0.99706,3.41,0.58
2661,7.3,0.14,0.49,1.1,0.038,28.0,99.0,0.9928,3.2,0.72
2817,6.9,0.17,0.22,4.6,0.064,55.0,152.0,0.9952,3.29,0.37
3263,6.6,0.22,0.28,12.05,0.058,25.0,125.0,0.99856,3.45,0.45
4866,5.9,0.28,0.34,3.6,0.04,50.0,194.0,0.9912,3.31,0.52
1153,9.2,0.54,0.31,2.3,0.112,11.0,38.0,0.99699,3.24,0.56
4507,6.8,0.33,0.31,7.4,0.045,34.0,143.0,0.99226,3.06,0.55
57,7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71
5001,7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45
5216,5.6,0.3,0.1,6.4,0.043,34.0,142.0,0.99382,3.14,0.48
5047,6.0,0.27,0.26,1.3,0.038,32.0,138.0,0.99125,3.46,0.43
5262,6.7,0.5,0.36,11.5,0.096,18.0,92.0,0.99642,3.11,0.49
1735,5.9,0.46,0.14,2.7,0.042,27.0,160.0,0.9931,3.46,0.51
2823,6.6,0.545,0.04,2.5,0.031,48.0,111.0,0.9906,3.14,0.32
2196,6.0,0.26,0.34,1.3,0.046,6.0,29.0,0.9924,3.29,0.63
4036,8.1,0.24,0.32,10.5,0.03,34.0,105.0,0.99407,3.11,0.42
2475,6.4,0.25,0.53,6.6,0.038,59.0,234.0,0.9955,3.03,0.42
2564,9.8,0.25,0.74,10.0,0.056,36.0,225.0,0.9977,3.06,0.43
3960,6.7,0.33,0.36,6.6,0.042,34.0,116.0,0.99123,2.97,0.31
3362,7.5,0.705,0.1,13.0,0.044,44.0,214.0,0.99741,3.1,0.5
2608,6.7,0.16,0.49,2.4,0.046,57.0,187.0,0.9952,3.62,0.81
4216,6.7,0.24,0.36,8.4,0.042,42.0,123.0,0.99473,3.34,0.52
707,7.1,0.715,0.0,2.35,0.071,21.0,47.0,0.99632,3.29,0.45
3046,7.0,0.2,0.34,2.1,0.049,12.0,136.0,0.9922,3.25,0.46
4557,6.3,0.33,0.2,17.9,0.066,36.0,161.0,0.9991,3.14,0.51
1093,8.7,0.63,0.28,2.7,0.096,17.0,69.0,0.99734,3.26,0.63
4914,6.2,0.21,0.52,6.5,0.047,28.0,123.0,0.99418,3.22,0.49
1376,6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48
5229,5.9,0.32,0.19,14.5,0.042,37.0,115.0,0.99684,3.16,0.43
72,6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52
1922,6.7,0.31,0.3,2.1,0.038,18.0,130.0,0.9928,3.36,0.63
3611,6.5,0.17,0.31,1.5,0.041,34.0,121.0,0.99092,3.06,0.46
1764,6.0,0.16,0.37,1.5,0.025,43.0,117.0,0.9928,3.46,0.51
743,7.2,0.62,0.06,2.5,0.078,17.0,84.0,0.99746,3.51,0.53
3269,6.8,0.21,0.55,14.6,0.053,34.0,159.0,0.99805,2.93,0.44
1005,7.1,0.66,0.0,2.4,0.052,6.0,11.0,0.99318,3.35,0.66
2668,7.3,0.21,0.49,1.8,0.038,44.0,152.0,0.9912,3.32,0.44
1190,7.2,0.33,0.33,1.7,0.061,3.0,13.0,0.996,3.23,1.1
4967,5.8,0.3,0.33,3.5,0.033,25.0,116.0,0.99057,3.2,0.44
2601,6.9,0.25,0.24,3.6,0.057,13.0,85.0,0.9942,2.99,0.48
1125,5.0,0.74,0.0,1.2,0.041,16.0,46.0,0.99258,4.01,0.59
1241,6.9,0.63,0.01,2.4,0.076,14.0,39.0,0.99522,3.34,0.53
3235,6.9,0.3,0.21,15.7,0.056,49.0,159.0,0.99827,3.11,0.48
4400,7.0,0.34,0.26,10.3,0.041,51.0,166.0,0.99382,3.08,0.35
3912,6.9,0.3,0.36,4.5,0.054,31.0,203.0,0.99513,3.4,0.57
998,7.6,0.5,0.29,2.3,0.086,5.0,14.0,0.99502,3.32,0.62
4610,6.4,0.26,0.26,1.1,0.052,22.0,176.0,0.99304,3.09,0.54
2684,6.9,0.22,0.49,7.0,0.063,50.0,168.0,0.9957,3.54,0.5
1577,5.8,0.36,0.38,0.9,0.037,3.0,75.0,0.9904,3.28,0.34
5099,6.0,0.24,0.41,1.3,0.036,42.0,118.0,0.99018,3.04,0.64
1826,6.7,0.21,0.42,9.1,0.049,31.0,150.0,0.9953,3.12,0.74
3742,5.2,0.285,0.29,5.15,0.035,64.0,138.0,0.9895,3.19,0.34
5307,6.6,0.34,0.4,8.1,0.046,68.0,170.0,0.99494,3.15,0.5
4015,6.4,0.23,0.35,4.6,0.039,43.0,147.0,0.99216,3.18,0.4
440,10.2,0.49,0.63,2.9,0.072,10.0,26.0,0.9968,3.16,0.78
5268,6.2,0.28,0.57,1.0,0.043,50.0,92.0,0.99004,3.17,0.36
1100,8.2,0.635,0.1,2.1,0.073,25.0,60.0,0.99638,3.29,0.75
2637,7.3,0.22,0.49,9.4,0.034,29.0,134.0,0.9939,2.99,0.32
3482,6.9,0.32,0.26,2.3,0.03,11.0,103.0,0.99106,3.06,0.42
649,7.2,0.5,0.18,2.1,0.071,12.0,31.0,0.99761,3.52,0.72
1546,7.5,0.23,0.36,7.0,0.036,43.0,161.0,0.9938,3.04,0.32
4019,5.8,0.3,0.42,1.1,0.036,19.0,113.0,0.98871,3.1,0.46
4043,6.4,0.23,0.32,1.9,0.038,40.0,118.0,0.99074,3.32,0.53
3601,7.8,0.25,0.28,7.2,0.04,46.0,179.0,0.99541,3.14,0.6
3625,7.0,0.34,0.3,1.8,0.045,44.0,142.0,0.9914,2.99,0.45
4825,7.2,0.34,0.23,8.9,0.105,22.0,155.0,0.99692,3.01,0.58
630,6.4,0.57,0.02,1.8,0.067,4.0,11.0,0.997,3.46,0.68
672,6.9,0.635,0.17,2.4,0.241,6.0,18.0,0.9961,3.4,0.59
1249,6.1,0.6,0.08,1.8,0.071,14.0,45.0,0.99336,3.38,0.54
4656,7.3,0.25,0.27,3.8,0.047,16.0,79.0,0.99173,3.07,0.46
482,5.0,1.04,0.24,1.6,0.05,32.0,96.0,0.9934,3.74,0.62
1584,5.3,0.58,0.07,6.9,0.043,34.0,149.0,0.9944,3.34,0.57
3499,7.7,0.3,0.26,18.95,0.053,36.0,174.0,0.99976,3.2,0.5
4922,7.2,0.24,0.24,1.7,0.045,18.0,161.0,0.99196,3.25,0.53
3657,8.0,0.3,0.36,11.0,0.034,8.0,70.0,0.99354,3.05,0.41
1462,6.9,0.19,0.28,5.0,0.058,14.0,146.0,0.9952,3.29,0.36
3040,7.0,0.25,0.56,2.0,0.035,20.0,95.0,0.9918,3.23,0.53
4278,6.8,0.18,0.28,1.1,0.027,32.0,112.0,0.99089,3.15,0.45
4104,6.6,0.16,0.21,6.7,0.055,43.0,157.0,0.99384,3.15,0.52
5298,7.4,0.22,0.26,1.2,0.035,18.0,97.0,0.99245,3.12,0.41
3131,5.9,0.5,0.05,2.6,0.054,36.0,146.0,0.9948,3.43,0.5
2578,7.2,0.31,0.24,1.4,0.057,17.0,117.0,0.9928,3.16,0.35
4205,7.6,0.31,0.24,1.8,0.037,39.0,150.0,0.9913,3.05,0.44
49,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56
4566,6.0,0.34,0.32,3.8,0.044,13.0,116.0,0.99108,3.39,0.44
3480,7.6,0.23,0.64,12.9,0.033,54.0,170.0,0.998,3.0,0.53
858,9.6,0.5,0.36,2.8,0.116,26.0,55.0,0.99722,3.18,0.68
3225,9.2,0.34,0.54,17.3,0.06,46.0,235.0,1.00182,3.08,0.61
1072,6.8,0.64,0.0,2.7,0.123,15.0,33.0,0.99538,3.44,0.63
719,11.6,0.47,0.44,1.6,0.147,36.0,51.0,0.99836,3.38,0.86
4273,6.9,0.26,0.27,4.2,0.031,20.0,80.0,0.99089,3.12,0.39
2631,8.1,0.2,0.49,8.1,0.051,51.0,205.0,0.9954,3.1,0.52
5186,6.1,0.26,0.25,2.9,0.047,289.0,440.0,0.99314,3.44,0.64
1660,5.5,0.335,0.3,2.5,0.071,27.0,128.0,0.9924,3.14,0.51
1656,7.8,0.18,0.46,13.6,0.052,38.0,118.0,0.998,3.15,0.5
2425,6.4,0.23,0.3,7.1,0.037,63.0,236.0,0.9952,3.06,0.34
4003,5.7,0.15,0.28,3.7,0.045,57.0,151.0,0.9913,3.22,0.27
4502,7.1,0.28,0.31,1.5,0.053,20.0,98.0,0.99069,3.15,0.5
5291,5.8,0.23,0.31,4.5,0.046,42.0,124.0,0.99324,3.31,0.64
3759,6.2,0.18,0.3,1.0,0.031,23.0,73.0,0.99032,3.23,0.52
3097,7.5,0.42,0.14,10.7,0.046,18.0,95.0,0.9959,3.22,0.33
4767,6.2,0.345,0.27,10.1,0.056,38.0,187.0,0.99486,3.31,0.56
3755,6.4,0.25,0.32,0.9,0.034,40.0,114.0,0.99114,3.31,0.58
5058,6.5,0.36,0.31,13.55,0.053,20.0,113.0,0.99544,3.2,0.56
3189,7.6,0.27,0.33,2.0,0.059,19.0,175.0,0.9944,3.22,0.56
2934,6.3,0.19,0.21,1.8,0.049,35.0,163.0,0.9924,3.31,0.5
4396,4.8,0.17,0.28,2.9,0.03,22.0,111.0,0.9902,3.38,0.34
3540,7.4,0.2,0.37,1.2,0.028,28.0,89.0,0.99132,3.14,0.61
2606,7.7,0.16,0.49,2.0,0.056,20.0,124.0,0.9948,3.32,0.49
1385,8.3,0.14,0.34,1.1,0.042,7.0,47.0,0.9934,3.47,0.4
4463,6.7,0.26,0.49,8.1,0.052,48.0,197.0,0.99558,3.19,0.48
1399,6.2,0.45,0.26,4.4,0.063,63.0,206.0,0.994,3.27,0.52
1195,8.1,0.29,0.36,2.2,0.048,35.0,53.0,0.995,3.27,1.01
1408,7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.9962,3.09,0.5
1845,5.7,0.18,0.22,4.2,0.042,25.0,111.0,0.994,3.35,0.39
1798,5.6,0.35,0.37,1.0,0.038,6.0,72.0,0.9902,3.37,0.34
1475,7.1,0.37,0.67,10.5,0.045,49.0,155.0,0.9975,3.16,0.44
3660,6.6,0.25,0.51,8.0,0.047,61.0,189.0,0.99604,3.22,0.49
35,5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48
4022,6.8,0.22,0.41,6.7,0.034,39.0,116.0,0.99245,3.18,0.46
2345,6.0,0.24,0.32,6.3,0.03,34.0,129.0,0.9946,3.52,0.41
3615,7.9,0.51,0.36,6.2,0.051,30.0,173.0,0.9984,3.09,0.53
2359,7.5,0.42,0.45,9.1,0.029,20.0,125.0,0.996,3.12,0.36
3006,8.2,0.21,0.48,1.4,0.041,11.0,99.0,0.9958,3.17,0.57
2206,5.1,0.52,0.06,2.7,0.052,30.0,79.0,0.9932,3.32,0.43
3641,7.9,0.16,0.3,7.4,0.05,58.0,152.0,0.99612,3.12,0.37
4572,6.4,0.17,0.3,2.8,0.034,33.0,125.0,0.99152,3.03,0.49
3179,7.6,0.27,0.42,2.6,0.044,29.0,110.0,0.9912,3.31,0.51
1286,6.1,0.32,0.25,2.3,0.071,23.0,58.0,0.99633,3.42,0.97
349,7.7,0.26,0.3,1.7,0.059,20.0,38.0,0.9949,3.29,0.47
2137,6.5,0.25,0.35,12.0,0.055,47.0,179.0,0.998,3.58,0.47
2691,7.6,0.31,0.49,13.4,0.062,50.0,191.0,0.9989,3.22,0.53
3388,6.8,0.46,0.26,6.3,0.147,49.0,159.0,0.99434,3.14,0.47
3559,6.7,0.33,0.34,6.6,0.067,35.0,156.0,0.99542,3.11,0.48
1681,7.2,0.28,0.26,12.5,0.046,48.0,179.0,0.9975,3.1,0.52
4531,6.6,0.31,0.28,1.4,0.035,28.0,107.0,0.98836,3.0,0.4
1443,9.8,0.36,0.46,10.5,0.038,4.0,83.0,0.9956,2.89,0.3
3690,7.1,0.26,0.32,16.2,0.044,31.0,170.0,0.99644,3.17,0.37
3215,7.1,0.28,0.19,7.8,0.04,48.0,184.0,0.99579,3.16,0.5
1671,6.0,0.18,0.27,1.5,0.089,40.0,143.0,0.9923,3.49,0.62
3846,7.5,0.18,0.37,6.2,0.05,21.0,138.0,0.99546,3.2,0.55
1179,8.0,0.64,0.22,2.4,0.094,5.0,33.0,0.99612,3.37,0.58
2798,6.6,0.25,0.31,1.5,0.035,32.0,127.0,0.9921,3.41,0.47
1692,6.8,0.27,0.12,1.3,0.04,87.0,168.0,0.992,3.18,0.41
4919,6.6,0.38,0.28,2.8,0.043,17.0,67.0,0.98924,3.21,0.47
372,6.4,0.67,0.08,2.1,0.045,19.0,48.0,0.9949,3.49,0.49
3055,9.5,0.42,0.41,2.3,0.034,22.0,145.0,0.9951,3.06,0.52
4100,6.5,0.26,0.32,6.65,0.059,34.0,104.0,0.99254,3.18,0.42
1916,6.8,0.22,0.37,1.7,0.036,38.0,195.0,0.9908,3.35,0.72
1357,5.9,0.645,0.12,2.0,0.075,32.0,44.0,0.99547,3.57,0.71
1825,7.2,0.34,0.44,4.2,0.047,51.0,144.0,0.991,3.01,0.76
786,6.8,0.41,0.31,8.8,0.084,26.0,45.0,0.99824,3.38,0.64
469,9.2,0.59,0.24,3.3,0.101,20.0,47.0,0.9988,3.26,0.67
140,6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57
788,8.4,0.62,0.12,1.8,0.072,38.0,46.0,0.99504,3.38,0.89
323,9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13
50,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63
714,7.5,0.27,0.34,2.3,0.05,4.0,8.0,0.9951,3.4,0.64
4981,6.4,0.28,0.23,6.0,0.051,50.0,162.0,0.994,3.15,0.52
2840,6.7,0.16,0.28,2.5,0.046,40.0,153.0,0.9921,3.38,0.51
2446,6.6,0.16,0.3,1.6,0.034,15.0,78.0,0.992,3.38,0.44
5122,7.3,0.17,0.36,8.2,0.028,44.0,111.0,0.99272,3.14,0.41
4992,6.8,0.17,0.17,5.1,0.049,26.0,82.0,0.993,3.0,0.38
4708,7.6,0.48,0.31,9.4,0.046,6.0,194.0,0.99714,3.07,0.61
4889,6.0,0.27,0.31,5.0,0.043,54.0,170.0,0.9924,3.28,0.52
3433,6.3,0.18,0.22,1.5,0.043,45.0,155.0,0.99238,3.19,0.48
2666,7.9,0.18,0.49,5.2,0.051,36.0,157.0,0.9953,3.18,0.48
406,10.0,0.29,0.4,2.9,0.098,10.0,26.0,1.0006,3.48,0.91
3944,7.6,0.25,1.23,4.6,0.035,51.0,294.0,0.99018,3.03,0.43
1004,6.5,0.88,0.03,5.6,0.079,23.0,47.0,0.99572,3.58,0.5
5021,5.7,0.28,0.3,3.9,0.026,36.0,105.0,0.98963,3.26,0.58
890,6.9,0.44,0.0,1.4,0.07,32.0,38.0,0.99438,3.32,0.58
2411,8.0,0.2,0.4,5.2,0.055,41.0,167.0,0.9953,3.18,0.4
2545,7.4,0.4,0.29,5.4,0.044,31.0,122.0,0.994,3.3,0.5
3906,7.0,0.26,0.34,10.9,0.038,25.0,84.0,0.99432,3.11,0.34
2390,5.9,0.4,0.32,6.0,0.034,50.0,127.0,0.992,3.51,0.58
4758,6.6,0.31,0.37,6.2,0.052,13.0,164.0,0.99602,3.24,0.39
42,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73
2830,6.6,0.37,0.47,6.5,0.061,23.0,150.0,0.9954,3.14,0.45
4110,5.9,0.2,0.28,12.8,0.038,29.0,132.0,0.99426,3.31,0.57
3022,8.1,0.19,0.58,16.65,0.049,48.0,181.0,1.0006,3.2,0.62
303,9.6,0.56,0.31,2.8,0.089,15.0,46.0,0.9979,3.11,0.92
4805,7.1,0.46,0.23,13.7,0.045,44.0,192.0,0.9981,3.11,0.53
11,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56
664,7.1,0.59,0.02,2.3,0.082,24.0,94.0,0.99744,3.55,0.53
1177,6.7,0.48,0.02,2.2,0.08,36.0,111.0,0.99524,3.1,0.53
3292,7.5,0.23,0.35,17.8,0.058,128.0,212.0,1.00241,3.44,0.43
2676,9.1,0.28,0.49,2.0,0.059,10.0,112.0,0.9958,3.15,0.46
1947,8.4,0.4,0.7,13.1,0.042,29.0,197.0,0.998,3.06,0.64
2501,8.2,0.35,0.4,6.3,0.039,35.0,162.0,0.9936,3.15,0.34
1473,6.7,0.27,0.31,15.7,0.036,44.0,179.0,0.9979,3.26,0.56
4137,6.7,0.38,0.26,9.55,0.036,35.0,91.0,0.9919,2.98,0.37
3999,6.2,0.35,0.31,2.6,0.036,37.0,92.0,0.98938,3.27,0.53
2132,6.5,0.26,0.27,12.9,0.044,69.0,215.0,0.9967,3.17,0.43
1026,9.9,0.74,0.19,5.8,0.111,33.0,76.0,0.99878,3.14,0.55
2989,6.3,0.25,0.44,11.6,0.041,48.0,195.0,0.9968,3.18,0.52
961,10.5,0.43,0.35,3.3,0.092,24.0,70.0,0.99798,3.21,0.69
2889,7.2,0.15,0.38,1.2,0.038,18.0,110.0,0.9917,3.19,0.43
3021,7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46
3015,7.5,0.26,0.26,18.35,0.084,33.0,139.0,1.0011,3.17,0.39
4190,5.8,0.32,0.2,2.6,0.027,17.0,123.0,0.98936,3.36,0.78
3338,6.7,0.26,0.29,5.8,0.025,26.0,74.0,0.9929,3.28,0.53
2009,6.6,0.16,0.57,1.1,0.13,58.0,140.0,0.9927,3.12,0.39
2149,6.3,0.27,0.46,11.75,0.037,61.0,212.0,0.9971,3.25,0.53
4717,5.8,0.23,0.31,3.5,0.044,35.0,158.0,0.98998,3.19,0.37
2338,7.9,0.16,0.3,4.8,0.037,37.0,171.0,0.9967,3.47,0.44
735,9.3,0.36,0.39,1.5,0.08,41.0,55.0,0.99652,3.47,0.73
304,9.1,0.785,0.0,2.6,0.093,11.0,28.0,0.9994,3.36,0.86
1440,7.1,0.26,0.29,12.4,0.044,62.0,240.0,0.9969,3.04,0.42
1496,6.7,0.24,0.35,13.1,0.05,64.0,205.0,0.997,3.15,0.5
2652,7.5,0.23,0.49,7.7,0.049,61.0,209.0,0.9941,3.14,0.3
2875,7.4,0.35,0.31,17.95,0.062,42.0,187.0,1.0002,3.27,0.64
916,9.9,0.32,0.56,2.0,0.073,3.0,8.0,0.99534,3.15,0.73
4453,6.8,0.26,0.34,15.1,0.06,42.0,162.0,0.99705,3.24,0.52
710,4.9,0.42,0.0,2.1,0.048,16.0,42.0,0.99154,3.71,0.74
4920,6.7,0.24,0.26,5.4,0.03,15.0,94.0,0.99045,3.15,0.38
4700,6.8,0.18,0.35,5.4,0.054,53.0,143.0,0.99287,3.1,0.54
2772,6.6,0.27,0.31,5.3,0.137,35.0,163.0,0.9951,3.2,0.38
1624,5.7,0.36,0.21,6.7,0.038,51.0,166.0,0.9941,3.29,0.63
4229,7.0,0.22,0.24,11.0,0.041,75.0,167.0,0.99508,2.98,0.56
821,6.6,0.57,0.02,2.1,0.115,6.0,16.0,0.99654,3.38,0.69
3750,6.2,0.21,0.26,13.1,0.05,59.0,150.0,0.99772,3.31,0.46
1354,6.8,0.62,0.08,1.9,0.068,28.0,38.0,0.99651,3.42,0.82
4789,5.5,0.23,0.19,2.2,0.044,39.0,161.0,0.99209,3.19,0.43
850,6.4,0.69,0.0,1.65,0.055,7.0,12.0,0.99162,3.47,0.53
3350,8.4,0.3,0.25,17.75,0.047,25.0,218.0,1.00016,2.98,0.66
1000,7.1,0.59,0.0,2.2,0.078,26.0,44.0,0.99522,3.42,0.68
